 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  98.780 '%'
 VMAXT    12 2022  85.740 '%'
 VMAXT     1 2023  83.400 '%'
 VMAXT     2 2023  90.720 '%'
 VMAXT     3 2023  96.070 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  98.780 '%'
 VMAXT    12 2023  85.740 '%'
 VMAXT     1 2024  83.400 '%'
 VMAXT     2 2024  90.720 '%'
 VMAXT     3 2024  96.070 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  98.780 '%'
 VMAXT    12 2024  85.740 '%'
 VMAXT     1 2025  83.400 '%'
 VMAXT     2 2025  90.720 '%'
 VMAXT     3 2025  96.070 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  98.780 '%'
 VMAXT    12 2025  85.740 '%'
 USINA     62                               TAQUARUCU           
 VAZMIN        290
 USINA     63                               ROSANA              
 VAZMIN        326
 USINA     77                               SLT.SANTIAGO        
 VMAXT     5 2021  90.030 '%'
 VMAXT     7 2021 100.000 '%'
 VMAXT     5 2022  90.030 '%'
 VMAXT     7 2022 100.000 '%'
 VMAXT     5 2023  90.030 '%'
 VMAXT     7 2023 100.000 '%'
 VMAXT     5 2024  90.030 '%'
 VMAXT     7 2024 100.000 '%'
 VMAXT     5 2025  90.030 '%'
 VMAXT     7 2025 100.000 '%'
 USINA     78                               SALTO OSORIO        
 VAZMINT   2 2021  200.00
 USINA     82                               SALTO CAXIAS        
 VAZMIN        200
 USINA     92                               ITA                 
 VAZMINT   2 2021  150.00
 USINA    117                               GUARAPIRANGA        
 VMAXT     2 2021  85.720 '%'
 VMAXT     3 2021  85.850 '%'
 VMAXT     4 2021  92.760 '%'
 VMAXT     7 2021  95.390 '%'
 VMAXT    11 2021  94.560 '%'
 VMAXT    12 2021  89.020 '%'
 VMAXT     1 2022  77.120 '%'
 VMAXT     2 2022  85.720 '%'
 VMAXT     3 2022  85.850 '%'
 VMAXT     4 2022  92.760 '%'
 VMAXT     7 2022  95.390 '%'
 VMAXT    11 2022  94.560 '%'
 VMAXT    12 2022  89.020 '%'
 VMAXT     1 2023  77.120 '%'
 VMAXT     2 2023  85.720 '%'
 VMAXT     3 2023  85.850 '%'
 VMAXT     4 2023  92.760 '%'
 VMAXT     7 2023  95.390 '%'
 VMAXT    11 2023  94.560 '%'
 VMAXT    12 2023  89.020 '%'
 VMAXT     1 2024  77.120 '%'
 VMAXT     2 2024  85.720 '%'
 VMAXT     3 2024  85.850 '%'
 VMAXT     4 2024  92.760 '%'
 VMAXT     7 2024  95.390 '%'
 VMAXT    11 2024  94.560 '%'
