 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0050;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0051;001;  350.4110
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0051;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0051;002;  350.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0051;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0051;003;  351.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0051;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0052;001;  332.0092
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0052;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0052;002;  333.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0052;002;004
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0052;003;  333.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0052;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0052;004;  334.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0052;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0053;001;  488.6312
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0053;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0057;001;  511.5233
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0057;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0061;001;  283.2936
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0061;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0061;002;  283.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0061;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0061;003;  283.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0061;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0061;004;  283.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0061;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0061;005;  284.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0061;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0062;001;  257.3697
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0062;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0062;002;  257.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0062;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0062;003;  258.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0062;003;003
 &
